시도,시군구,월,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,1,87,1,25,88,12
서울,종로구,2,66,1,22,50,12
서울,종로구,3,87,2,25,79,18
서울,종로구,4,85,0,25,91,15
서울,종로구,5,112,1,25,115,18
서울,종로구,6,95,1,27,80,9
서울,종로구,7,83,0,22,79,8
서울,종로구,8,115,0,23,118,23
서울,종로구,9,99,0,28,99,16
서울,종로구,10,104,0,37,89,13
서울,종로구,11,100,0,23,86,17
서울,종로구,12,100,0,30,101,11
서울,중구,1,100,3,30,84,10
서울,중구,2,53,0,25,49,6
서울,중구,3,85,0,25,78,10
서울,중구,4,113,1,38,102,14
서울,중구,5,104,0,28,91,16
서울,중구,6,104,0,44,82,13
서울,중구,7,107,0,25,101,14
서울,중구,8,101,0,25,91,11
서울,중구,9,90,0,24,86,15
서울,중구,10,93,1,31,86,16
서울,중구,11,121,0,43,112,8
서울,중구,12,113,0,27,121,34
서울,용산구,1,104,1,33,104,5
서울,용산구,2,87,0,29,74,2
서울,용산구,3,112,2,31,118,14
서울,용산구,4,102,0,25,102,11
서울,용산구,5,98,0,28,106,9
서울,용산구,6,99,0,36,96,3
서울,용산구,7,92,2,18,93,7
서울,용산구,8,95,3,23,102,6
서울,용산구,9,95,1,26,97,2
서울,용산구,10,100,0,18,119,2
서울,용산구,11,114,0,29,117,5
서울,용산구,12,89,1,20,100,4
서울,성동구,1,88,2,28,84,7
서울,성동구,2,76,0,19,87,7
서울,성동구,3,78,1,16,78,6
서울,성동구,4,96,1,20,96,13
서울,성동구,5,101,3,36,82,9
서울,성동구,6,108,1,36,104,3
서울,성동구,7,87,0,15,98,2
서울,성동구,8,75,0,16,82,5
서울,성동구,9,89,0,27,89,7
서울,성동구,10,110,3,28,98,8
서울,성동구,11,97,0,29,86,11
서울,성동구,12,86,2,24,79,4
서울,동대문구,1,115,0,56,86,6
서울,동대문구,2,92,0,32,96,5
서울,동대문구,3,111,1,39,100,8
서울,동대문구,4,126,0,47,89,17
서울,동대문구,5,112,0,34,99,8
서울,동대문구,6,132,4,43,96,26
서울,동대문구,7,142,1,31,138,6
서울,동대문구,8,137,2,41,116,14
서울,동대문구,9,157,2,57,124,13
서울,동대문구,10,139,3,30,130,12
서울,동대문구,11,149,0,50,136,14
서울,동대문구,12,153,2,47,130,12
서울,성북구,1,105,0,37,107,7
서울,성북구,2,102,2,21,108,6
서울,성북구,3,126,0,44,127,10
서울,성북구,4,133,1,29,134,5
서울,성북구,5,128,1,35,113,9
서울,성북구,6,115,1,37,95,13
서울,성북구,7,117,0,39,127,7
서울,성북구,8,125,0,24,135,18
